Source,,,,,,,,,,,,,,,,,,,
iso_code,continent,location,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,female_smokers,male_smokers,extreme_poverty,human_development_index,life_expectancy
MKD,Europe,North Macedonia,"225,049","7,960","842,871","816,777","1,755,026",,"2,082,661",82.6,39.1,13.26%,8.16%,"$13,111.21",,,5.00%,0.774,75.8
MLT,Europe,Malta,"52,473",476,"444,615","435,874","1,072,274",53.03773613,"516,100","1,454.04",42.4,19.43%,11.32%,"$36,513.32",20.90%,30.20%,0.20%,0.895,82.53
MNE,Europe,Montenegro,"170,034","2,411","283,884","272,853","634,517",,"628,051",46.28,39.1,14.76%,9.40%,"$16,409.29",44.00%,47.90%,1.00%,0.829,76.88
NLD,Europe,Netherlands,"3,137,942","20,999","13,316,328","12,224,315","27,853,098",58.71783383,"17,173,094",508.544,43.2,18.78%,11.88%,"$48,472.55",24.40%,27.30%,,0.944,82.28
NOR,Europe,Norway,"394,259","1,305","4,286,516","3,923,172","9,769,935",49.31495562,"5,465,629",14.462,39.7,16.82%,10.81%,"$64,800.06",19.60%,20.70%,0.20%,0.957,82.4
POL,Europe,Poland,"4,108,215","97,054","21,673,668","21,046,400","46,987,401",55.3523503,"37,797,000",124.027,41.8,16.76%,10.20%,"$27,216.45",23.30%,33.10%,,0.88,78.73
PRT,Europe,Portugal,"1,389,646","18,955","9,304,557","9,103,550","19,320,364",62.55034277,"10,167,923",112.371,46.2,21.50%,14.92%,"$27,936.90",16.30%,30.00%,0.50%,0.864,82.05
ROU,Europe,Romania,"1,808,891","58,752","5,478,579","7,817,215","15,850,096",57.3401037,"19,127,772",85.129,43,17.85%,11.69%,"$23,313.20",22.90%,37.10%,5.70%,0.828,76.05
RUS,Europe,Russia,"10,320,405","302,671","73,824,201","66,773,441","146,364,014",49.76787447,"145,912,022",8.823,39.6,14.18%,9.39%,"$24,765.95",23.40%,58.30%,0.10%,0.824,72.58
SMR,Europe,San Marino,"8,202",100,"24,306","21,625","53,942",48.6977381,"34,010",556.667,,,,"$56,861.47",,,,,84.97
SRB,Europe,Serbia,"1,299,339","12,714","3,309,157","3,207,534","8,239,799",50.67777778,"6,871,547",80.291,41.2,17.37%,,"$14,048.88",37.70%,40.20%,,0.806,76
SVK,Europe,Slovakia,"1,371,082","16,635","2,746,875","2,617,630","6,254,823",53.47966967,"5,449,270",113.128,41.2,15.07%,9.17%,"$30,155.15",23.10%,37.70%,0.70%,0.86,77.54
SVN,Europe,Slovenia,"464,048","5,589","1,250,472","1,189,664","2,761,858",53.30841954,"2,078,723",102.619,44.5,19.06%,12.93%,"$31,400.84",20.10%,25.00%,,0.917,81.32
SWE,Europe,Sweden,"1,314,784","15,310","7,736,260","7,385,941","17,582,457",50.64465714,"10,160,159",24.718,41,19.99%,13.43%,"$46,949.28",18.80%,18.90%,0.50%,0.945,82.8
UKR,Europe,Ukraine,"3,847,226","102,088","14,713,309","13,755,421","28,448,050",60.31538117,"43,466,822",77.39,41.4,16.46%,11.13%,"$7,894.39",13.50%,47.40%,0.10%,0.779,72.06
VAT,Europe,Vatican,27,,,,,,812,,,,,,,,,,75.12
